Date,n_headlines,sentiment_mean,sentiment_std,positive_share,negative_share,neutral_share,pos_score_mean,neg_score_mean,sentiment_trend,sentiment_reversal,sentiment_change,sentiment_mean_roll3,sentiment_mean_std3,sentiment_std_roll3,sentiment_std_std3,pos_score_mean_roll3,pos_score_mean_std3,neg_score_mean_roll3,neg_score_mean_std3,volume_x_sentiment,extreme_pos_day,extreme_neg_day
2021-01-04,7,0.14285714285714285,1.0690449676496976,0.5714285714285714,0.42857142857142855,0.0,0.57465494,0.42483357,0.14285714285714285,1,0.0,0.14285714285714285,,1.0690449676496976,,0.5746549367904663,,0.4248335659503937,,1.0,0,0
2021-01-05,4,0.5,1.0,0.75,0.25,0.0,0.7499457,0.25004783,0.3214285714285714,1,0.35714285714285715,0.3214285714285714,0.2525381361380527,1.0345224838248488,0.04882216483190696,0.662300318479538,0.12394928746405166,0.33744069933891296,0.12359217721661886,2.0,0,0
2021-01-06,6,0.0,0.8944271909999159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3334713,0.3331572,0.21428571428571427,1,-0.5,0.21428571428571427,0.25753937681885636,0.9878240528832044,0.08794334680162859,0.5526906450589498,0.2091041712963351,0.3360128700733185,0.08742785153374824,0.0,1,0
2021-01-07,7,0.42857142857142855,0.7867957924694432,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.510862,0.17742036,0.26785714285714285,1,0.42857142857142855,0.30952380952380953,0.27042420694287017,0.8937409944897864,0.1066037601420376,0.5314263304074606,0.20899737044970557,0.2535418023665746,0.07792719281202805,3.0,0,0
2021-01-08,2,1.0,0.0,1.0,0.0,0.0,0.9973991,2.5426696e-05,0.41428571428571426,0,0.5714285714285714,0.4761904761904762,0.5016977977548923,0.560407661156453,0.48830184261329673,0.6139107942581177,0.3437503750576546,0.1702010003561251,0.16668319025797618,2.0,1,1
2021-01-11,3,0.3333333333333333,1.1547005383792517,0.6666666666666666,0.3333333333333333,0.0,0.66662604,0.333334,0.40079365079365076,1,-0.6666666666666667,0.5873015873015873,0.36056560925716025,0.6471654436162316,0.5898777916433079,0.7249623735745748,0.24845911805434245,0.17025992948159305,0.16676961633806814,1.0,0,0
2021-01-12,2,1.0,0.0,1.0,0.0,0.0,0.99294376,7.847244e-06,0.48639455782312924,1,0.6666666666666667,0.7777777777777777,0.3849001794597506,0.3849001794597506,0.6666666666666669,0.8856562972068787,0.1896988506164967,0.11112242428619841,0.1924408688472789,2.0,1,1
2021-01-13,4,0.5,0.5773502691896257,0.5,0.0,0.5,0.48182827,0.0023473166,0.5374149659863946,1,-0.5,0.611111111111111,0.3469443332443555,0.5773502691896257,0.577350269189626,0.7137993574142456,0.2588025368169336,0.11189638758514775,0.19177416422444743,2.0,0,1
2021-01-14,3,0.6666666666666666,0.5773502691896258,0.6666666666666666,0.0,0.3333333333333333,0.676553,0.00074852613,0.5612244897959183,1,0.16666666666666663,0.7222222222222222,0.25458753860865785,0.38490017945975047,0.3333333333333334,0.7171083490053812,0.25795990573911504,0.0010345633224157307,0.0011956764466742624,2.0,0,1
2021-01-15,7,0.7142857142857143,0.4879500364742666,0.7142857142857143,0.0,0.2857142857142857,0.6755199,0.00041392926,0.6632653061224489,0,0.04761904761904767,0.626984126984127,0.11251941967268111,0.5475501916178395,0.051615248423828725,0.6113003889719645,0.11212733197734849,0.001169923993681247,0.0010332854234811962,5.0,0,1
2021-01-19,9,0.1111111111111111,1.0540925533894598,0.5555555555555556,0.4444444444444444,0.0,0.52071184,0.47917455,0.6179138321995464,1,-0.6031746031746033,0.4973544973544974,0.3353428968781126,0.7064642863511175,0.3043553177380856,0.6242615779240926,0.08967819205651133,0.1601123365787013,0.27631603662230764,1.0,0,0
2021-01-20,15,0.5333333333333333,0.833809387832792,0.7333333333333333,0.2,0.06666666666666667,0.655361,0.2506615,0.5512471655328798,1,0.4222222222222222,0.45291005291005293,0.30952516618885956,0.7919506592321729,0.28538299219612373,0.617197573184967,0.08416482535748467,0.24341665865116133,0.23946252263279516,8.0,0,0
2021-01-21,6,0.3333333333333333,1.0327955589886444,0.6666666666666666,0.3333333333333333,0.0,0.66566235,0.33335826,0.5512471655328798,1,-0.2,0.3259259259259259,0.2112085545093812,0.9735658334036321,0.1215001586483476,0.6139117280642191,0.08087764786566581,0.35439810156822205,0.1157003074280016,2.0,0,0
2021-01-25,5,-0.2,0.8366600265340756,0.2,0.4,0.4,0.20560601,0.34425908,0.37981859410430835,0,-0.5333333333333333,0.22222222222222218,0.3790827135384882,0.9010883244518374,0.11407071603725286,0.5088764528433481,0.26269040519016446,0.30942627787590027,0.05118282926410512,-1.0,1,0
2021-01-26,5,0.4,0.8944271909999159,0.6,0.2,0.2,0.60290253,0.19681235,0.36553287981859406,1,0.6000000000000001,0.17777777777777778,0.32885885748774946,0.9212942588408786,0.10079020921492136,0.49139029781023663,0.2494778376926234,0.2914765626192093,0.08216259700692032,2.0,0,0
2021-01-27,2,1.0,0.0,1.0,0.0,0.0,0.99996936,4.911034e-06,0.41315192743764173,0,0.6,0.39999999999999997,0.5999999999999999,0.5770290725113304,0.5005558652289178,0.6028259694576263,0.3971816803724654,0.18035878029422747,0.17271587552460319,2.0,1,1
2021-01-28,4,0.75,0.5,0.75,0.0,0.25,0.74946934,0.0002367596,0.4182539682539682,1,-0.25,0.7166666666666667,0.3013856886670855,0.4648090636666386,0.4482508243160451,0.7841137448946635,0.20078768211168185,0.0656846724047379,0.1135599561418401,3.0,0,1
