Date,CP,n_headlines,sentiment_mean,sentiment_std,positive_share,negative_share,neutral_share,pos_score_mean,neg_score_mean,sentiment_trend,sentiment_reversal,sentiment_change,return_1d,return_5d,volatility_5d,roll_max_5d,roll_min_5d,cp_lag1,cp_lag2,fwd_return,target
2021-01-11,3799.61,3,0.3333333333333333,1.1547005383792517,0.6666666666666666,0.3333333333333333,0.0,0.66662604,0.333334,0.5873015873015873,0,-0.6666666666666667,-0.006554796741165214,0.026741248159107167,0.007665987801815461,3824.68,3726.86,3824.68,3803.79,-0.0010711625666844915,0
2021-01-12,3801.19,2,1.0,0.0,1.0,0.0,0.0,0.99294376,7.847244e-06,0.7777777777777777,0,0.6666666666666667,0.0004158321511944507,0.01994440359981331,0.007859121945533653,3824.68,3748.14,3799.61,3824.68,-0.00866570731797145,-1
2021-01-13,3809.84,4,0.5,0.5773502691896257,0.5,0.0,0.5,0.48182827,0.0023473166,0.611111111111111,0,-0.5,0.0022756031663768717,0.016461498236458594,0.007820337649809102,3824.68,3799.61,3801.19,3799.61,-0.0028688868823888436,0
2021-01-14,3795.54,3,0.6666666666666666,0.5773502691896258,0.6666666666666666,0.0,0.3333333333333333,0.676553,0.00074852613,0.7222222222222222,0,0.1666666666666666,-0.003753438464607517,-0.0021688894497330358,0.004787033678739069,3824.68,3795.54,3809.84,3801.19,0.014835833636320572,1
2021-01-15,3768.25,7,0.7142857142857143,0.4879500364742666,0.7142857142857143,0.0,0.2857142857142857,0.6755199,0.00041392926,0.626984126984127,0,0.0476190476190476,-0.00719001775768402,-0.014754175512722623,0.004190851117926034,3809.84,3768.25,3795.54,3809.84,0.022509122271611615,1
2021-01-19,3798.91,9,0.1111111111111111,1.0540925533894598,0.5555555555555556,0.4444444444444444,0.0,0.52071184,0.47917455,0.4973544973544974,0,-0.6031746031746033,0.008136402839514334,-0.0001842294340735906,0.005859486314337947,3809.84,3768.25,3768.25,3795.54,0.014859525495471093,1
2021-01-20,3851.85,15,0.5333333333333333,0.833809387832792,0.7333333333333333,0.2,0.0666666666666666,0.655361,0.2506615,0.4529100529100529,0,0.4222222222222222,0.013935576257400273,0.01332740536516197,0.008594042169466935,3851.85,3768.25,3798.91,3768.25,-0.0005789425860300845,0
2021-01-21,3853.07,6,0.3333333333333333,1.0327955589886444,0.6666666666666666,0.3333333333333333,0.0,0.66566235,0.33335826,0.3259259259259259,0,-0.2,0.0003167309215053038,0.01134693320454394,0.008661517535067994,3853.07,3768.25,3851.85,3798.91,-0.026550257327274118,-1
2021-01-25,3855.36,5,-0.2,0.8366600265340756,0.2,0.4,0.4,0.20560601,0.34425908,0.2222222222222221,1,-0.5333333333333333,0.0005943312735039452,0.01576060323432249,0.00810350729340664,3855.36,3768.25,3853.07,3851.85,-0.017632594621513897,-1
2021-01-26,3849.62,5,0.4,0.8944271909999159,0.6,0.2,0.2,0.60290253,0.19681235,0.1777777777777777,1,0.6000000000000001,-0.0014888363213811928,0.021593577920785423,0.006532062252089711,3855.36,3798.91,3855.36,3853.07,-0.035167107402808595,-1
